route_id,route_theme,route_theme_code,seed_route_theme,product_type,max_day_active_hours,red_days,orange_days,long_transfer_days,buffer_days,quality_pass,highest_pressure_days,quality_note
Q4V2_R006,东疆—北疆—赛湖自然风景12日线,North_Kanas_nature_flagship,North_Kanas,nature_flagship,9.24,1,3,3,3,False,D5:世界魔鬼城/5.7h/7.4h_travel; D7:禾木村/8.8h/2.8h_travel; D9:喀纳斯湖/8.9h/2.6h_travel; D10:可可托海/8.2h/7.7h_travel; D11:赛里木湖/9.2h/8.5h_travel,存在9小时以上高强度日，不建议直接作为普通团队产品投放，需分批/小交通/拆段修复
Q4V2_R008,巴州—赛湖—东疆大众均衡12日线,Ili_Lake_Grass_balanced_mass,Ili_Lake_Grass,capacity_balanced,9.24,1,0,2,2,False,D7:喀拉峻大草原/9.2h/4.7h_travel; D9:天山神秘大峡谷/6.7h/8.5h_travel; D11:吐峪沟麻扎村/5.7h/7.2h_travel,存在9小时以上高强度日，不建议直接作为普通团队产品投放，需分批/小交通/拆段修复；缓冲日不足，抗天气/交通扰动能力弱
Q4V2_R011,巴州—东疆—乌鲁木齐错峰分流12日线,Ili_Lake_Grass_low_pressure,Ili_Lake_Grass,decongested_route,9.24,1,1,1,3,False,D7:喀拉峻大草原/9.2h/4.7h_travel; D9:天山天池/8.2h/8.5h_travel,存在9小时以上高强度日，不建议直接作为普通团队产品投放，需分批/小交通/拆段修复
Q4V2_R041,东疆—赛湖—喀什自然风景12日线,Hotan_Plus_nature_flagship,Hotan_Plus,nature_flagship,9.24,1,1,3,3,False,D5:和田博物馆/5.7h/8.0h_travel; D7:罗布人村寨/5.7h/8.5h_travel; D9:天山天池/8.2h/5.6h_travel; D11:赛里木湖/9.2h/8.5h_travel,存在9小时以上高强度日，不建议直接作为普通团队产品投放，需分批/小交通/拆段修复
Q4V2_R046,东疆—赛湖—喀什错峰分流12日线,Short_Urumqi_East_low_pressure,Short_Urumqi_East,decongested_route,9.24,1,0,3,3,False,D7:罗布人村寨/5.7h/6.7h_travel; D9:赛里木湖/9.2h/8.5h_travel; D11:喀什古城/6.7h/8.5h_travel,存在9小时以上高强度日，不建议直接作为普通团队产品投放，需分批/小交通/拆段修复
Q4V2_R048,乌鲁木齐—东疆—赛湖自然风景12日线,Short_Urumqi_East_nature_flagship,Short_Urumqi_East,nature_flagship,9.24,1,0,1,3,False,D10:赛里木湖/9.2h/8.5h_travel,存在9小时以上高强度日，不建议直接作为普通团队产品投放，需分批/小交通/拆段修复
Q4V2_R053,东疆—赛湖—喀什错峰分流12日线,SilkRoad_Deep_low_pressure,SilkRoad_Deep,decongested_route,9.24,1,0,2,3,False,D7:赛里木湖/9.2h/6.2h_travel; D9:库车王府/4.7h/8.5h_travel; D11:喀什古城/6.7h/7.6h_travel,存在9小时以上高强度日，不建议直接作为普通团队产品投放，需分批/小交通/拆段修复
Q4V2_R029,巴州—东疆—乌鲁木齐大众均衡12日线,Bazhou_Desert_balanced_mass,Bazhou_Desert,capacity_balanced,8.47,0,2,0,2,False,D5:巴音布鲁克草原/8.5h/3.4h_travel; D10:天山天池/8.2h/6.1h_travel,缓冲日不足，抗天气/交通扰动能力弱
Q4V2_R015,乌鲁木齐—东疆大众均衡12日线,East_Heritage_balanced_mass,East_Heritage,capacity_balanced,6.38,0,0,0,2,False,,缓冲日不足，抗天气/交通扰动能力弱
Q4V2_R043,乌鲁木齐—东疆大众均衡12日线,Short_Urumqi_East_balanced_mass,Short_Urumqi_East,capacity_balanced,5.94,0,0,0,2,False,,缓冲日不足，抗天气/交通扰动能力弱
Q4V2_R005,巴州—东疆—乌鲁木齐文化深游12日线,North_Kanas_culture_deep,North_Kanas,culture_deep,8.88,0,2,2,3,True,D6:罗布人村寨/5.7h/7.1h_travel; D7:世界魔鬼城/5.7h/8.5h_travel; D10:禾木村/8.8h/2.8h_travel; D11:喀纳斯湖/8.9h/2.6h_travel,产品强度处于可投放范围
Q4V2_R030,巴州—乌鲁木齐—东疆亲子舒适12日线,Bazhou_Desert_family_comfort,Bazhou_Desert,family_comfort,8.47,0,2,1,4,True,D8:巴音布鲁克草原/8.5h/3.4h_travel; D10:天山天池/8.2h/6.7h_travel,产品强度处于可投放范围
Q4V2_R063,巴州—东疆—乌鲁木齐精品预约12日线,Border_Pamir_premium_reserve,Border_Pamir,premium_reserve,8.24,0,1,2,4,True,D7:罗布人村寨/5.7h/8.5h_travel; D8:天山天池/8.2h/5.6h_travel; D11:霍城薰衣草花田/5.7h/8.5h_travel,产品强度处于可投放范围
Q4V2_R051,东疆—巴州—喀什亲子舒适12日线,SilkRoad_Deep_family_comfort,SilkRoad_Deep,family_comfort,6.74,0,0,2,4,True,D8:库车王府/4.7h/8.4h_travel; D11:喀什古城/6.7h/7.6h_travel,产品强度处于可投放范围
Q4V2_R045,乌鲁木齐—东疆长者慢游12日线,Short_Urumqi_East_senior_slow,Short_Urumqi_East,senior_slow,5.94,0,0,0,5,True,,产品强度处于可投放范围
Q4V2_R018,乌鲁木齐—东疆—巴州错峰分流12日线,East_Heritage_low_pressure,East_Heritage,decongested_route,5.74,0,0,1,3,True,D11:罗布人村寨/5.7h/7.1h_travel,产品强度处于可投放范围
Q4V2_R039,喀什—和田—东疆错峰分流12日线,Hotan_Plus_low_pressure,Hotan_Plus,decongested_route,5.74,0,0,2,3,True,D3:和田博物馆/5.7h/6.7h_travel; D6:罗布人村寨/5.7h/8.5h_travel,产品强度处于可投放范围
Q4V2_R024,帕米尔—喀什—巴州长者慢游12日线,South_Culture_senior_slow,South_Culture,senior_slow,4.74,0,0,1,4,True,D8:库车王府/4.7h/7.1h_travel,产品强度处于可投放范围
